2026-04-28 18:00:38 | INFO    | bot | сессия 69f0cb7f27145be2ac29d4e3 завершена
2026-04-28 18:01:47 | DEBUG   | bot | stale callback от 540373857: msg=406, active=392, data=my_experiments
2026-04-28 18:02:23 | DEBUG   | bot | stale callback от 540373857: msg=406, active=392, data=my_experiments
2026-04-28 18:11:54 | INFO    | bot | бот остановлен
2026-04-28 18:12:03 | INFO    | bot | бот запущен
2026-04-28 18:12:24 | INFO    | bot | бот остановлен
2026-04-28 18:12:47 | INFO    | bot | бот запущен
2026-04-28 18:13:14 | DEBUG   | bot | stale callback от 540373857: msg=410, active=412, data=my_experiments
2026-04-28 18:21:12 | INFO    | bot | бот остановлен
2026-04-28 18:21:19 | INFO    | bot | бот запущен
2026-04-28 18:21:53 | DEBUG   | bot | stale callback от 540373857: msg=415, active=417, data=ans_69f0ce96d567b8aa6c3fc96a_0_0_1
2026-04-28 18:23:18 | INFO    | bot | сессия 69f0d0c2fd621c51e5a3aadc завершена
2026-04-28 18:23:22 | DEBUG   | bot | stale callback от 540373857: msg=415, active=431, data=ans_69f0ce96d567b8aa6c3fc96a_0_0_1
2026-04-28 18:24:10 | INFO    | bot | удалён эксперимент 69f08aa4c84e2cdfdbd8249f: answers=16, sessions=2, media=0
2026-04-28 18:24:10 | INFO    | bot | пользователь 540373857 удалил эксперимент 69f08aa4c84e2cdfdbd8249f (Predictability rating test 1)
2026-04-28 18:31:02 | INFO    | bot | бот остановлен
2026-04-28 19:31:55 | INFO    | bot | бот запущен
2026-04-28 19:32:16 | INFO    | bot | бот остановлен
2026-04-28 19:32:48 | INFO    | bot | бот запущен
2026-04-28 19:34:28 | INFO    | bot | deep link от 7828426430: exp_25ECsch6nfE
2026-04-28 19:34:33 | INFO    | bot | сессия 69f0e199835ff550a4e4bbda: user=7828426430, exp=69e78c39a8261c528561e41a, list=None
2026-04-28 19:35:36 | INFO    | bot | сессия 69f0e199835ff550a4e4bbda завершена
2026-04-28 19:40:46 | INFO    | bot | бот остановлен
2026-05-04 13:56:00 | INFO    | bot | бот запущен
2026-05-04 14:04:19 | INFO    | bot | создан эксперимент 69f87d33481fbbec8111ecc2
2026-05-04 14:04:19 | INFO    | bot | эксперимент 69f87d33481fbbec8111ecc2 создан пользователем 540373857
2026-05-04 14:14:29 | DEBUG   | bot | stale callback от 540373857: msg=493, active=490, data=csv_next_list_2
2026-05-04 14:14:36 | DEBUG   | bot | stale callback от 540373857: msg=493, active=490, data=csv_next_list_2
2026-05-04 14:14:40 | DEBUG   | bot | stale callback от 540373857: msg=493, active=490, data=csv_next_list_2
2026-05-04 14:14:42 | DEBUG   | bot | stale callback от 540373857: msg=493, active=490, data=csv_done
2026-05-04 14:15:08 | DEBUG   | bot | stale callback от 540373857: msg=498, active=495, data=csv_next_list_2
2026-05-04 14:51:21 | INFO    | bot | бот остановлен
2026-05-04 14:51:29 | INFO    | bot | бот запущен
2026-05-04 14:52:16 | INFO    | bot | эксперимент 69f87d33481fbbec8111ecc2 обновлён пользователем 540373857
2026-05-04 14:52:25 | INFO    | bot | эксперимент 69f87d33481fbbec8111ecc2 обновлён пользователем 540373857
2026-05-04 14:53:29 | INFO    | bot | deep link от 540373857: exp_K1YRwTiIWqA
2026-05-04 14:55:05 | INFO    | bot | deep link от 7828426430: exp_K1YRwTiIWqA
2026-05-04 14:55:08 | INFO    | bot | сессия 69f8891ca64c4500021af467: user=7828426430, exp=69f87d33481fbbec8111ecc2, list=1
2026-05-04 14:55:28 | INFO    | bot | сессия 69f8891ca64c4500021af467 завершена
2026-05-04 14:55:42 | INFO    | bot | deep link от 7828426430: exp_K1YRwTiIWqA
2026-05-04 14:55:44 | INFO    | bot | сессия 69f88940a64c4500021af46f: user=7828426430, exp=69f87d33481fbbec8111ecc2, list=2
2026-05-04 14:56:09 | INFO    | bot | сессия 69f88940a64c4500021af46f завершена
2026-05-04 15:01:23 | INFO    | bot | эксперимент 69f87d33481fbbec8111ecc2 обновлён пользователем 540373857
2026-05-04 15:03:24 | INFO    | bot | создан эксперимент 69f88b0ca64c4500021af477
2026-05-04 15:03:24 | INFO    | bot | эксперимент 69f88b0ca64c4500021af477 создан пользователем 540373857
2026-05-04 15:03:56 | INFO    | bot | бот остановлен
2026-05-04 15:04:04 | INFO    | bot | бот запущен
2026-05-04 15:07:00 | INFO    | bot | бот остановлен
2026-05-04 15:07:05 | INFO    | bot | бот запущен
2026-05-04 15:07:24 | INFO    | bot | deep link от 7828426430: exp_YDdBlbfz704
2026-05-04 15:07:27 | INFO    | bot | сессия 69f88bffb88fe25f869c0094: user=7828426430, exp=69f88b0ca64c4500021af477, list=None
2026-05-04 15:08:04 | INFO    | bot | сессия 69f88bffb88fe25f869c0094 завершена
2026-05-04 15:14:33 | INFO    | bot | бот остановлен
2026-05-04 15:14:39 | INFO    | bot | бот запущен
2026-05-04 15:16:57 | INFO    | bot | deep link от 7828426430: exp_YDdBlbfz704
2026-05-04 15:16:59 | INFO    | bot | сессия 69f88e3be942e0b8f6909832: user=7828426430, exp=69f88b0ca64c4500021af477, list=None
2026-05-04 15:17:18 | INFO    | bot | сессия 69f88e3be942e0b8f6909832 завершена
2026-05-04 15:22:36 | INFO    | bot | создан эксперимент 69f88f8ce942e0b8f690983a
2026-05-04 15:22:36 | INFO    | bot | эксперимент 69f88f8ce942e0b8f690983a создан пользователем 540373857
2026-05-04 15:22:50 | INFO    | bot | deep link от 7828426430: exp_iliCJb-E4ck
2026-05-04 15:22:56 | INFO    | bot | сессия 69f88fa0e942e0b8f690983b: user=7828426430, exp=69f88f8ce942e0b8f690983a, list=None
2026-05-04 15:23:08 | INFO    | bot | сессия 69f88fa0e942e0b8f690983b завершена
2026-05-04 15:23:16 | INFO    | bot | deep link от 7828426430: exp_iliCJb-E4ck
2026-05-04 15:23:17 | INFO    | bot | сессия 69f88fb5e942e0b8f6909842: user=7828426430, exp=69f88f8ce942e0b8f690983a, list=None
2026-05-04 15:23:36 | INFO    | bot | сессия 69f88fb5e942e0b8f6909842 завершена
2026-05-04 15:30:57 | INFO    | bot | бот остановлен
2026-05-04 15:31:04 | INFO    | bot | бот запущен
2026-05-04 15:33:01 | INFO    | bot | создан эксперимент 69f891fd59489d928e0dac99
2026-05-04 15:33:01 | INFO    | bot | эксперимент 69f891fd59489d928e0dac99 создан пользователем 540373857
2026-05-04 15:33:17 | INFO    | bot | deep link от 7828426430: exp_AONmCJMLpmE
2026-05-04 15:33:20 | INFO    | bot | сессия 69f8921059489d928e0dac9a: user=7828426430, exp=69f891fd59489d928e0dac99, list=None
2026-05-04 15:33:30 | INFO    | bot | сессия 69f8921059489d928e0dac9a завершена
2026-05-04 15:34:20 | INFO    | bot | deep link от 7828426430: exp_AONmCJMLpmE
2026-05-04 15:35:17 | INFO    | bot | бот остановлен
2026-05-04 22:32:36 | INFO    | bot | бот запущен
2026-05-04 22:36:39 | INFO    | bot | создан эксперимент 69f8f547eb2b0f6fd7235871
2026-05-04 22:36:39 | INFO    | bot | эксперимент 69f8f547eb2b0f6fd7235871 создан пользователем 540373857
2026-05-04 22:42:17 | INFO    | bot | бот остановлен
2026-05-04 22:42:32 | INFO    | bot | бот запущен
2026-05-04 22:42:52 | DEBUG   | bot | stale callback от 540373857: msg=667, active=669, data=cfg_help
2026-05-04 22:46:00 | INFO    | bot | эксперимент 69f8f547eb2b0f6fd7235871 обновлён пользователем 540373857
2026-05-04 22:46:29 | INFO    | bot | deep link от 7828426430: exp_XzQgj_UwoCY
2026-05-04 22:46:32 | INFO    | bot | сессия 69f8f7984c83805a327c78d6: user=7828426430, exp=69f8f547eb2b0f6fd7235871, list=None
2026-05-04 22:47:05 | INFO    | bot | сессия 69f8f7984c83805a327c78d6 завершена
2026-05-04 22:47:19 | INFO    | bot | deep link от 7828426430: exp_XzQgj_UwoCY
2026-05-04 22:48:12 | DEBUG   | bot | неизвестное сообщение от 540373857: None
2026-05-04 22:49:34 | INFO    | bot | бот остановлен
